pais,overall,continente
United Kingdom,88.805,Europa
United Kingdom,87.555,Europa
Switzerland,84.73499999999999,Europa
United Kingdom,83.72,Europa
Switzerland,81.59,Europa
United Kingdom,80.095,Europa
United Kingdom,79.86500000000001,Europa
Germany,76.905,Europa
Italy,76.19999999999999,Europa
Russia,75.365,Europa
Netherlands,71.425,Europa
France,70.19,Europa
Belgium,73.08,Europa
United Kingdom,71.50999999999999,Europa
Germany,70.83,Europa
Sweden,72.885,Europa
Germany,71.57000000000001,Europa
Italy,70.07499999999999,Europa
Germany,70.525,Europa
Italy,70.745,Europa
Germany,71.32,Europa
Austria,69.85,Europa
United Kingdom,74.07000000000001,Europa
Ireland,69.84,Europa
Italy,71.125,Europa
Spain,71.08999999999999,Europa
Netherlands,72.89,Europa
United Kingdom,70.36,Europa
United Kingdom,69.74000000000001,Europa
Denmark,69.18,Europa
France,66.725,Europa
Sweden,66.52,Europa
France,68.405,Europa
Netherlands,68.62,Europa
Germany,69.19,Europa
United Kingdom,66.87,Europa
United Kingdom,66.305,Europa
Greece,66.5,Europa
Spain,68.17000000000002,Europa
Germany,68.805,Europa
United Kingdom,68.2,Europa
Spain,66.99,Europa
Spain,66.97500000000001,Europa
Italy,66.415,Europa
Italy,69.315,Europa
Spain,65.925,Europa
Germany,66.03,Europa
Belgium,66.35,Europa
Ireland,67.15,Europa
United Kingdom,67.095,Europa
United Kingdom,68.285,Europa
Denmark,66.99,Europa
Portugal,67.895,Europa
United Kingdom,65.935,Europa
Switzerland,66.345,Europa
Sweden,65.97,Europa
Netherlands,66.28999999999999,Europa
Denmark,64.67500000000001,Europa
Finland,65.53999999999999,Europa
Sweden,65.17500000000001,Europa
United Kingdom,63.754999999999995,Europa
Germany,63.945,Europa
Germany,64.07000000000001,Europa
Russia,64.795,Europa
Denmark,62.985,Europa
France,63.959999999999994,Europa
United Kingdom,63.25999999999999,Europa
United Kingdom,65.265,Europa
Italy,62.91,Europa
Italy,63.474999999999994,Europa
Austria,63.335,Europa
Finland,64.315,Europa
Portugal,63.21,Europa
Netherlands,63.824999999999996,Europa
Czech Republic,61.074999999999996,Europa
Ireland,61.35,Europa
Germany,61.949999999999996,Europa
Austria,61.415,Europa
Sweden,61.26,Europa
Ireland,61.37500000000001,Europa
United Kingdom,61.455,Europa
Norway,61.655,Europa
Germany,62.614999999999995,Europa
Germany,62.025000000000006,Europa
Germany,62.36000000000001,Europa
Belgium,60.705,Europa
France,62.64999999999999,Europa
Ireland,61.769999999999996,Europa
Portugal,62.035,Europa
Switzerland,62.19,Europa
Netherlands,61.25,Europa
United Kingdom,62.225,Europa
Norway,62.665000000000006,Europa
Netherlands,61.445,Europa
Greece,59.73,Europa
United Kingdom,59.03,Europa
United Kingdom,60.535000000000004,Europa
Czech Republic,59.155,Europa
Russia,59.739999999999995,Europa
Netherlands,60.050000000000004,Europa
