pais,overall,continente
Chile,71.945,Latinoamerica
Mexico,71.605,Latinoamerica
Brazil,69.88,Latinoamerica
Chile,69.075,Latinoamerica
Mexico,67.22,Latinoamerica
Brazil,66.495,Latinoamerica
Mexico,64.39999999999999,Latinoamerica
Argentina,65.35000000000001,Latinoamerica
Brazil,59.095,Latinoamerica
Colombia,60.38,Latinoamerica
Brazil,60.595,Latinoamerica
Brazil,60.285000000000004,Latinoamerica
Brazil,59.510000000000005,Latinoamerica
Chile,57.03999999999999,Latinoamerica
Brazil,54.78,Latinoamerica
Mexico,52.665000000000006,Latinoamerica
Chile,53.315,Latinoamerica
Brazil,54.155,Latinoamerica
Brazil,53.915,Latinoamerica
Brazil,51.85999999999999,Latinoamerica
Mexico,51.15,Latinoamerica
Chile,52.0,Latinoamerica
