pais,overall,continente
Australia,82.75500000000001,Oceania
Australia,78.79499999999999,Oceania
Australia,78.55499999999999,Oceania
Australia,77.415,Oceania
Australia,73.405,Oceania
Australia,70.875,Oceania
New Zealand,74.295,Oceania
Australia,72.52,Oceania
Australia,74.53999999999999,Oceania
Australia,67.125,Oceania
Australia,69.495,Oceania
Australia,64.04499999999999,Oceania
Australia,64.69999999999999,Oceania
New Zealand,63.919999999999995,Oceania
New Zealand,63.54999999999999,Oceania
New Zealand,62.04,Oceania
Australia,61.76499999999999,Oceania
Australia,62.705,Oceania
Australia,61.985,Oceania
Australia,61.49499999999999,Oceania
New Zealand,62.455000000000005,Oceania
Australia,60.885000000000005,Oceania
New Zealand,62.53500000000001,Oceania
Australia,62.675,Oceania
New Zealand,59.059999999999995,Oceania
Australia,57.29,Oceania
Australia,56.075,Oceania
Australia,54.31,Oceania
Australia,54.800000000000004,Oceania
Australia,52.545,Oceania
